# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/us.battle.net/sc2/LOCALE/forum/topic/AGGREGATED,"1,241,730"
/eu.battle.net/sc2/LOCALE/,"695,650"
/eu.battle.net/sc2/LOCALE/forum/topic/AGGREGATED,"638,162"
/us.battle.net/sc2/LOCALE/legacy-of-the-void/,"563,413"
/us.battle.net/sc2/LOCALE/,"560,357"
/kr.battle.net/sc2/LOCALE/,"540,233"
/kr.battle.net/sc2/LOCALE/legacy-of-the-void/,"463,982"
/eu.battle.net/sc2/LOCALE/legacy-of-the-void/,"383,621"
/us.battle.net/sc2/LOCALE/forum/40568/,"270,381"
/us.battle.net/sc2/LOCALE/forum/,"171,874"
/eu.battle.net/sc2/LOCALE/forum/,"150,914"
/eu.battle.net/sc2/LOCALE/game/,"147,740"
/kr.battle.net/sc2/LOCALE/buy-now/,"146,984"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/,"137,430"
/us.battle.net/sc2/LOCALE/game/,"112,134"
/kr.battle.net/sc2/LOCALE/forum/topic/AGGREGATED,"112,020"
/tw.battle.net/sc2/LOCALE/,"107,382"
/us.battle.net/sc2/LOCALE/profile/AGGREGATED/,"102,634"
/eu.battle.net/sc2/LOCALE/blog/19957543/AGGREGATED,"99,042"
/kr.battle.net/sc2/LOCALE/media/,"97,437"
/kr.battle.net/sc2/LOCALE/game/,"96,724"
/us.battle.net/sc2/LOCALE/buy-now/,"73,134"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/1,"64,176"
/us.battle.net/sc2/LOCALE/forum/1324400/,"63,473"
/eu.battle.net/sc2/LOCALE/buy-now/,"63,307"
/us.battle.net/sc2/LOCALE/blog/19946445/AGGREGATED,"61,533"
/eu.battle.net/sc2/LOCALE/game/unit/cyclone,"55,911"
/us.battle.net/sc2/LOCALE/search,"55,398"
/us.battle.net/sc2/LOCALE/blog/19954442/AGGREGATED,"52,801"
/eu.battle.net/sc2/LOCALE/game/unit/adept,"51,072"
/eu.battle.net/sc2/LOCALE/game/unit/,"47,749"
